UIC;Gare enquêtée;Motif du déplacement;Répartition;Année
286005;Lille Flandres;Démarches administratives, médicales ou achat;1;2013
223263;Lille Europe;Loisirs, vacances, visite d'un proche ou ami;27;2013
212027;Strasbourg;Démarches administratives, médicales ou achat;3;2016
212027;Strasbourg;Déplacement domicile - étude (y compris stage);24;2016
286005;Lille Flandres;Déplacement domicile - travail habituel;50;2013
271007;Paris Nord;Déplacement domicile - travail habituel;46;2012
212027;Strasbourg;Déplacement professionnel occasionnel;15;2016
182063;Mulhouse;Déplacement professionnel occasionnel;19;2014
192039;Metz;Déplacement domicile - travail habituel;41;2016
271494;Aéroport Charles de Gaulle 2 TGV;;1;2013
391003;Paris Montparnasse 1 et 2 + Vaugirard;Démarches administratives, médicales ou achat;4;2012
391003;Paris Montparnasse 1 et 2 + Vaugirard;Loisirs, vacances, visite d'un proche ou ami;30;2012
300863;Besançon Franche-Comté TGV;Démarches administratives, médicales ou achat;0;2015
300822;Belfort Montbéliard TGV;Loisirs, vacances, visite d'un proche ou ami;25;2015
300822;Belfort Montbéliard TGV;Déplacement professionnel occasionnel;59;2015
411017;Rouen Rive Droite;Déplacement professionnel occasionnel;14;2014
396002;Le Mans;Démarches administratives, médicales ou achat;4;2015
313874;Amiens;Loisirs, vacances, visite d'un proche ou ami;13;2015
345025;Lens;Démarches administratives, médicales ou achat;3;2016
444000;Caen;Démarches administratives, médicales ou achat;4;2012
763029;Valence TGV Rhône-Alpes Sud;Loisirs, vacances, visite d'un proche ou ami;39;2015
763029;Valence TGV Rhône-Alpes Sud;Déplacement domicile - travail habituel;9;2015
762906;Lyon Saint Exupery TGV;Déplacement domicile - étude (y compris stage);0;2016
755009;Toulon;Démarches administratives, médicales ou achat;3;2014
753657;Arles;Déplacement domicile - étude (y compris stage);17;2014
775007;Nîmes;Démarches administratives, médicales ou achat;2;2014
756056;Nice;Déplacement domicile - étude (y compris stage);20;2014
775007;Nîmes;Déplacement domicile - travail habituel;25;2014
755009;Toulon;Déplacement professionnel occasionnel;11;2014
753657;Arles;Déplacement professionnel occasionnel;16;2014
581009;Bordeaux Saint-Jean;Déplacement domicile - étude (y compris stage);20;2014
581009;Bordeaux Saint-Jean;Démarches administratives, médicales ou achat;3;2014
581009;Bordeaux Saint-Jean;Loisirs, vacances, visite d'un proche ou ami;38;2014
484006;Angers Saint Laud;Démarches administratives, médicales ou achat;2;2015
611004;Toulouse Matabiau;Démarches administratives, médicales ou achat;6;2014
581009;Bordeaux Saint-Jean;Déplacement domicile - travail habituel;17;2014
547000;Paris Austerlitz;Déplacement domicile - travail habituel;37;2013
484006;Angers Saint Laud;Déplacement professionnel occasionnel;25;2015
547000;Paris Austerlitz;Déplacement professionnel occasionnel;21;2013
481002;Nantes;Déplacement domicile - étude (y compris stage);10;2014
751008;Marseille Saint-Charles;Déplacement professionnel occasionnel;17;2013
722025;Lyon Perrache;Démarches administratives, médicales ou achat;4;2011
722025;Lyon Perrache;Loisirs, vacances, visite d'un proche ou ami;13;2011
723197;Lyon Part Dieu;Déplacement domicile - travail habituel;34;2011
722025;Lyon Perrache;Déplacement domicile - travail habituel;53;2011
722025;Lyon Perrache;Déplacement professionnel occasionnel;13;2011
713040;Dijon;Démarches administratives, médicales ou achat;5;2015
677005;Hendaye;Déplacement domicile - travail habituel;5;2016
753657;Arles;Déplacement domicile - travail habituel;25;2014
723197;Lyon Part Dieu;;0;2011
444877;Cherbourg;Déplacement domicile - étude (y compris stage);6;2015
444877;Cherbourg;Démarches administratives, médicales ou achat;2;2015
478404;Laval;Déplacement domicile - étude (y compris stage);12;2011
478404;Laval;Démarches administratives, médicales ou achat;3;2011
444877;Cherbourg;Déplacement professionnel occasionnel;16;2015
476002;Lorient;Déplacement domicile - travail habituel;24;2010
471003;Rennes;Déplacement domicile - travail habituel;37;2014
478404;Laval;Déplacement professionnel occasionnel;18;2011
444000;Caen;Déplacement professionnel occasionnel;12;2012
471003;Rennes;;1;2014
784009;Perpignan;Déplacement domicile - étude (y compris stage);8;2016
