UIC;Gare enquêtée;Distance parcourue;Répartition;Année
182014;Colmar;08 à 10 km;3;2017
141002;Nancy;15 à 20 km;1;2014
141002;Nancy;06 à 08 km;3;2014
171009;Reims;10 à 15 km;2;2016
718007;Besançon-Viotte;50 à 100 km;2;2012
722025;Lyon Perrache;Plus de 100 km;2;2011
722025;Lyon Perrache;Moins de 2 km;52;2011
718007;Besançon-Viotte;06 à 08 km;2;2012
718007;Besançon-Viotte;20 à 30 km;2;2012
723197;Lyon Part Dieu;15 à 20 km;1;2011
722025;Lyon Perrache;04 à 06 km;12;2011
722025;Lyon Perrache;06 à 08 km;3;2011
713040;Dijon;50 à 100 km;2;2015
713040;Dijon;02 à 04 km;6;2015
686006;Paris Gare de Lyon;Plus de 100 km;7;2012
686006;Paris Gare de Lyon;Moins de 2 km;24;2012
686006;Paris Gare de Lyon;08 à 10 km;8;2012
686006;Paris Gare de Lyon;10 à 15 km;10;2012
677005;Hendaye;Plus de 100 km;2;2016
673400;Biarritz;50 à 100 km;1;2016
673400;Biarritz;04 à 06 km;15;2016
673004;Bayonne;15 à 20 km;7;2013
673004;Bayonne;20 à 30 km;3;2013
673004;Bayonne;08 à 10 km;0;2013
484006;Angers Saint Laud;04 à 06 km;5;2015
484006;Angers Saint Laud;10 à 15 km;3;2015
547000;Paris Austerlitz;04 à 06 km;23;2013
547000;Paris Austerlitz;10 à 15 km;8;2013
547000;Paris Austerlitz;06 à 08 km;7;2013
444877;Cherbourg;50 à 100 km;0;2015
444877;Cherbourg;30 à 50 km;2;2015
471003;Rennes;15 à 20 km;2;2014
478404;Laval;30 à 50 km;5;2011
478404;Laval;06 à 08 km;5;2011
751008;Marseille Saint-Charles;02 à 04 km;63;2013
747006;Grenoble;06 à 08 km;2;2015
747006;Grenoble;30 à 50 km;1;2015
611004;Toulouse Matabiau;Plus de 100 km;4;2014
611004;Toulouse Matabiau;15 à 20 km;1;2014
547000;Paris Austerlitz;50 à 100 km;1;2013
583005;Angoulême;30 à 50 km;10;2012
575001;Poitiers;50 à 100 km;7;2015
583005;Angoulême;02 à 04 km;9;2012
575001;Poitiers;02 à 04 km;2;2015
575001;Poitiers;04 à 06 km;3;2015
575001;Poitiers;06 à 08 km;1;2015
571000;Tours;04 à 06 km;5;2016
751008;Marseille Saint-Charles;Plus de 100 km;6;2013
753657;Arles;Moins de 2 km;81;2014
755009;Toulon;06 à 08 km;10;2014
755009;Toulon;15 à 20 km;1;2014
753657;Arles;50 à 100 km;0;2014
753657;Arles;15 à 20 km;4;2014
753657;Arles;20 à 30 km;5;2014
763029;Valence TGV Rhône-Alpes Sud;30 à 50 km;13;2015
723197;Lyon Part Dieu;10 à 15 km;4;2011
723197;Lyon Part Dieu;30 à 50 km;1;2011
722025;Lyon Perrache;50 à 100 km;1;2011
747006;Grenoble;50 à 100 km;2;2015
747006;Grenoble;08 à 10 km;1;2015
747006;Grenoble;10 à 15 km;2;2015
747006;Grenoble;20 à 30 km;1;2015
757625;Cannes;50 à 100 km;1;2015
757625;Cannes;10 à 15 km;5;2015
757625;Cannes;20 à 30 km;2;2015
757625;Cannes;30 à 50 km;0;2015
753657;Arles;30 à 50 km;4;2014
753657;Arles;06 à 08 km;2;2014
753657;Arles;08 à 10 km;1;2014
756056;Nice;50 à 100 km;0;2014
756056;Nice;06 à 08 km;1;2014
756056;Nice;04 à 06 km;0;2014
762906;Lyon Saint Exupery TGV;15 à 20 km;12;2016
762906;Lyon Saint Exupery TGV;20 à 30 km;10;2016
762906;Lyon Saint Exupery TGV;30 à 50 km;6;2016
142109;Lorraine TGV;20 à 30 km;26;2017
142109;Lorraine TGV;30 à 50 km;21;2017
142109;Lorraine TGV;08 à 10 km;6;2017
142109;Lorraine TGV;10 à 15 km;6;2017
182063;Mulhouse;Plus de 100 km;1;2014
212027;Strasbourg;20 à 30 km;3;2016
182014;Colmar;50 à 100 km;5;2017
141002;Nancy;04 à 06 km;8;2014
192039;Metz;50 à 100 km;3;2016
192039;Metz;15 à 20 km;3;2016
763029;Valence TGV Rhône-Alpes Sud;Plus de 100 km;5;2015
763029;Valence TGV Rhône-Alpes Sud;Moins de 2 km;27;2015
762906;Lyon Saint Exupery TGV;50 à 100 km;21;2016
784009;Perpignan;Plus de 100 km;2;2016
775007;Nîmes;Plus de 100 km;1;2014
784009;Perpignan;06 à 08 km;3;2016
784009;Perpignan;20 à 30 km;8;2016
775007;Nîmes;06 à 08 km;4;2014
300863;Besançon Franche-Comté TGV;08 à 10 km;4;2015
300863;Besançon Franche-Comté TGV;30 à 50 km;15;2015
