UIC;Gare enquêtée;Distance parcourue;Répartition;Année
141002;Nancy;20 à 30 km;3;2014
141002;Nancy;02 à 04 km;10;2014
141002;Nancy;08 à 10 km;1;2014
141002;Nancy;30 à 50 km;1;2014
;Paris Bercy;06 à 08 km;16;2012
773002;Montpellier Saint-Roch;Plus de 100 km;1;2015
773002;Montpellier Saint-Roch;04 à 06 km;3;2015
773002;Montpellier Saint-Roch;20 à 30 km;1;2015
757625;Cannes;06 à 08 km;1;2015
775007;Nîmes;04 à 06 km;1;2014
775007;Nîmes;08 à 10 km;1;2014
775007;Nîmes;10 à 15 km;6;2014
775007;Nîmes;20 à 30 km;7;2014
756056;Nice;08 à 10 km;1;2014
784009;Perpignan;30 à 50 km;5;2016
784009;Perpignan;04 à 06 km;3;2016
775007;Nîmes;30 à 50 km;10;2014
