"Commune","Departement","Region","Code_UIC","WGS_84"
"Luzenac","Ariège","Occitanie","611558","42.7642849, 1.7531248"
"Bagnères-de-Luchon","Haute-Garonne","Occitanie","611236","42.7972746, 0.5964686"
"Saverdun","Ariège","Occitanie","611368","43.239357, 1.570616"
"Saint-Pé-de-Bigorre","Hautes-Pyrénées","Occitanie","671362","43.1015768, -0.1619763"
"Coarraze","Pyrénées-Atlantiques","Nouvelle-Aquitaine","672139","43.1818351, -0.2416429"
"Guéthary","Pyrénées-Atlantiques","Nouvelle-Aquitaine","673459","43.4253491, -1.6098615"
"Saléchan","Hautes-Pyrénées","Occitanie","618710","42.9633091, 0.6312526"
"Saubusse","Landes","Nouvelle-Aquitaine","673251","43.6603331, -1.1901703"
"Bayonne","Pyrénées-Atlantiques","Nouvelle-Aquitaine","673004","43.496801, -1.470306"
"Laqueuille","Puy-de-Dôme","Auvergne-Rhône-Alpes","641274","45.6468205, 2.7046524"
"Laroquebrou","Cantal","Auvergne-Rhône-Alpes","645135","44.9641658, 2.1929167"
"Labenne","Landes","Nouvelle-Aquitaine","673293","43.5870509, -1.4288712"
"Lourdes","Hautes-Pyrénées","Occitanie","671339","43.10037, -0.042174"
"Vergigny","Yonne","Bourgogne-Franche-Comté","683318","47.981058, 3.731036"
"Champs-sur-Yonne","Yonne","Bourgogne-Franche-Comté","683615","47.7388182, 3.6034756"
"Étigny","Yonne","Bourgogne-Franche-Comté","683201","48.1386835, 3.2904186"
"Champigny","Yonne","Bourgogne-Franche-Comté","683128","48.3237418, 3.1305718"
"Gien","Loiret","Centre-Val de Loire","684290","47.699088, 2.636205"
"Bourron-Marlotte","Seine-et-Marne","Île-de-France","684118","48.3326884, 2.6924552"
"Champagne-sur-Seine","Seine-et-Marne","Île-de-France","682450","48.406531, 2.799184"
"Avon","Seine-et-Marne","Île-de-France","682211","48.416371, 2.72634"
"Saint-Mammès","Seine-et-Marne","Île-de-France","682294","48.382171, 2.81593"
"Cesson","Seine-et-Marne","Île-de-France","682161","48.56563, 2.5938"
"Tassin-la-Demi-Lune","Rhône","Auvergne-Rhône-Alpes","721522","45.7684995, 4.7484432"
"Charbonnières-les-Bains","Rhône","Auvergne-Rhône-Alpes","721530","45.782142, 4.735912"
"Saint-Romain-de-Popey","Rhône","Auvergne-Rhône-Alpes","721456","45.8616053, 4.5423351"
"Couzon-au-Mont-d'Or","Rhône","Auvergne-Rhône-Alpes","721241","45.8486737, 4.8294786"
"Tour-de-Salvagny","Rhône","Auvergne-Rhône-Alpes","721548","45.7998818, 4.7164921"
"Civrieux-d'Azergues","Rhône","Auvergne-Rhône-Alpes","721746","45.8591831, 4.7182413"
"Charbonnières-les-Bains","Rhône","Auvergne-Rhône-Alpes","721704","45.7774345, 4.7541523"
"Morteau","Doubs","Bourgogne-Franche-Comté","718619","47.053727, 6.604653"
"Amplepuis","Rhône","Auvergne-Rhône-Alpes","721035","45.970982, 4.326844"
"Grigny","Rhône","Auvergne-Rhône-Alpes","722298","45.6072601, 4.796144"
"Saint-Jean-Pied-de-Port","Pyrénées-Atlantiques","Nouvelle-Aquitaine","673723","43.1679394, -1.2380129"
"Halsou","Pyrénées-Atlantiques","Nouvelle-Aquitaine","673640","43.3781301, -1.4279003"
"Villefranque","Pyrénées-Atlantiques","Nouvelle-Aquitaine","673616","43.4313998, -1.4564514"
"Louhossoa","Pyrénées-Atlantiques","Nouvelle-Aquitaine","673673","43.3057578, -1.3624626"
"Ustaritz","Pyrénées-Atlantiques","Nouvelle-Aquitaine","673624","43.4048083, -1.4489654"
"Coudray-Montceaux","Essonne","Île-de-France","681627","48.5735652, 2.479586"
"Vigneux-sur-Seine","Essonne","Île-de-France","681304","48.70816, 2.41446"
"Montgeron","Essonne","Île-de-France","682104","48.708094, 2.462224"
"Maisse","Essonne","Île-de-France","681486","48.39304, 2.39312"
"Évry","Essonne","Île-de-France","681361","48.63442, 2.45209"
"Buzet-sur-Tarn","Haute-Garonne","Occitanie","615351","43.7512472, 1.6198753"
"Alet-les-Bains","Aude","Occitanie","615187","42.9974445, 2.2518325"
"Vindrac-Alayrac","Tarn","Occitanie","613802","44.067189, 1.900229"
"Lisle-sur-Tarn","Tarn","Occitanie","615310","43.85639, 1.80823"
"Verzeille","Aude","Occitanie","615138","43.1304633, 2.3212626"
"Carcassonne","Aude","Occitanie","615286","43.218029, 2.351824"
"Naucelle","Aveyron","Occitanie","615732","44.1854793, 2.363504"
"Mazamet","Tarn","Occitanie","615542","43.4977847, 2.3747346"
