"Code_UIC","Nom_de_la_gare","voyageurs_2016","voyageurs_2015","Commune","Departement","Region","WGS_84","Communication_perturbations","Proprete","Securite","Confort_d_attente","Commerces_restauration","MoyenneDistance","Assistance_simple","Rampe","Fauteuil","Rampe_et_fauteuil","Demarches_administratives_medicales_ou_achat","Deplacement_domicile_travail_habituel","Deplacement_domicile_etude_y_compris_stage","Deplacement_professionnel_occasionnel","Loisirs_vacances_visite_d_un_proche_ou_ami","c0_19","c20_29","c30_39","c40_49","c50_59","c60","deux_roues_motorisees","Autres_voitures_location_autopartage","Bus_Car_Navette","Marche","Metro_RER","Taxis","Tramway","Voiture_Conducteur","Voiture_passager","Velo","Wifi","Taux_conformite_proprete","Piano","Power_Station","Baby_Foot","Distr_Histoires_Courtes"
"576207","Bourges","851513","930856","Bourges","Cher","Centre-Val de Loire","47.094145, 2.394255","7.27","7.41","6.97","6.35","7.76","","121","37","21","2","","","","","","","","","","","","","","","","","","","","","","true","97","","","",""
"171926","Champagne Ardenne TGV","831609","1034315","Bezannes","Marne","Grand Est","49.214806, 3.994632","7.78","8.22","8.08","7.67","8.25","","174","71","83","0","","","","","","","","","","","","","","","","","","","","","","true","94.4","1","0","1","1"
"673202","Dax","824634","861063","Dax","Landes","Nouvelle-Aquitaine","43.720472, -1.050301","7.47","7.69","7.4","6.76","7.09","","155","62","89","0","","","","","","","","","","","","","","","","","","","","","","true","95.6","0","0","0","1"
"576009","Vierzon Ville","814009","808857","Vierzon","Cher","Centre-Val de Loire","47.226497, 2.059822","6.76","7.86","6.98","6.83","7.76","","178","46","23","3","","","","","","","","","","","","","","","","","","","","","","true","96.9","","","",""
"594002","Brive la Gaillarde","797188","827337","Brive-la-Gaillarde","Corrèze","Nouvelle-Aquitaine","45.152618, 1.528655","7.17","7.8","7.25","7.39","7.3","","156","47","52","7","","","","","","","","","","","","","","","","","","","","","","true","100","0","0","0","1"
"696005","Nevers","782776","832510","Nevers","Nièvre","Bourgogne-Franche-Comté","46.987282, 3.150743","7.38","7.69","7.31","7.11","7.45","","165","88","34","2","","","","","","","","","","","","","","","","","","","","","","false","","","","",""
"615286","Carcassonne","779949","816645","Carcassonne","Aude","Occitanie","43.218029, 2.351824","6.76","7.83","6.69","7.3","5.86","","112","21","34","0","","","","","","","","","","","","","","","","","","","","","","true","96.8","","","",""
"476200","Auray","774212","765825","Auray","Morbihan","Bretagne","47.68022, -2.999995","7.46","7.84","7.61","7.06","7.77","","98","42","60","1","","","","","","","","","","","","","","","","","","","","","","true","94.8","","","",""
"672006","Pau","739761","780885","Pau","Pyrénées-Atlantiques","Nouvelle-Aquitaine","43.291762, -0.369626","7.46","8.00","7.7","7.4","7.62","","151","48","57","4","","","","","","","","","","","","","","","","","","","","","","true","96.9","","","",""
"597005","Châteauroux","731376","766504","Châteauroux","Indre","Centre-Val de Loire","46.809737, 1.699536","7.04","8.09","7.27","7.33","7.71","","79","17","33","6","","","","","","","","","","","","","","","","","","","","","","true","98.1","","","",""
"300822","Belfort Montbéliard TGV","731291","736456","Meroux","Territoire de Belfort","Bourgogne-Franche-Comté","47.585937, 6.897687","7.84","8.76","8.19","8.41","7.88","4.554237288135593","115","40","53","1","2","11","3","59","25","4.92","19.4","20.7","20.8","19.9","14.3","0","9","18","2","0","9","0","36","26","0","true","93.7","1","3","0","0"
"444372","Trouville-Deauville","718740","743435","Deauville","Calvados","Normandie","49.360005, 0.084167","7.52","8.25","6.98","7.23","6.83","","27","14","55","6","","","","","","","","","","","","","","","","","","","","","","true","","1","0","0","1"
"673004","Bayonne","712900","820806","Bayonne","Pyrénées-Atlantiques","Nouvelle-Aquitaine","43.496801, -1.470306","7.27","7.19","7.64","6.75","8.31","2.4084745762711863","138","28","65","3","2","22","17","17","42","14.5","23","14.9","11","17.1","19.4","1","0","22","18","0","2","0","12","43","2","true","93.1","","","",""
"696328","Moulins sur Allier","687306","731265","Moulins","Allier","Auvergne-Rhône-Alpes","46.561346, 3.338842","7.44","7.92","7.78","7.2","7.92","","73","21","16","0","","","","","","","","","","","","","","","","","","","","","","true","","","","",""
"694109","Le Creusot TGV (Monceau Montchanin)","679127","800697","Écuisses","Saône-et-Loire","Bourgogne-Franche-Comté","46.765343, 4.499513","7.23","8.34","7.66","7.31","7.41","","55","35","61","2","","","","","","","","","","","","","","","","","","","","","","true","97.4","","","",""
"671339","Lourdes","675164","686179","Lourdes","Hautes-Pyrénées","Occitanie","43.10037, -0.042174","7.67","8.22","7.64","7.9","7.83","","76","22","31","3","","","","","","","","","","","","","","","","","","","","","","true","100","","","",""
"281071","Calais-Fréthun","637324","669769","Fréthun","Pas-de-Calais","Hauts-de-France","50.901221, 1.810891","7.39","8.37","8.42","7.32","7.85","","11","10","17","0","","","","","","","","","","","","","","","","","","","","","","true","95.9","1","0","0","0"
"781278","Agde","632685","637131","Agde","Hérault","Occitanie","43.31728, 3.466203","7.88","8.11","7.43","8.05","7.62","","60","21","34","1","","","","","","","","","","","","","","","","","","","","","","true","93.2","","","",""
"300863","Besançon Franche-Comté TGV","606090","826650","Auxons","Doubs","Bourgogne-Franche-Comté","47.3073610585, 5.95319509506","7.54","8.77","8.04","8.1","7.91","6.111864406779661","83","34","49","3","0","16","15","43","25","10.1","20.7","19.6","18.5","14.5","16.7","0","3","5","16","0","6","0","44","26","0","true","92.8","1","0","1","0"
"755447","Les Arcs Draguignan","599533","637030","Arcs","Var","Provence-Alpes-Côte d'Azur","43.455524, 6.482498","7.1","7.66","7.65","7.12","7.66","","63","19","52","4","","","","","","","","","","","","","","","","","","","","","","true","92.1","","","",""
"473207","Guingamp","564349","552951","Guingamp","Côtes-d'Armor","Bretagne","48.555659, -3.143343","7.66","8.31","7.68","7.69","7.7","","76","23","57","3","","","","","","","","","","","","","","","","","","","","","","true","","","","",""
"142109","Lorraine TGV","549055","679082","Louvigny","Moselle","Grand Est","48.947773, 6.169838","7.15","7.84","6.99","6.82","6.55","10.138983050847457","158","68","92","4","","","","","","3.22","15.3","14.7","19.2","19.7","27.9","0","2","19","0","0","3","0","47","29","0","true","95.2","","","",""
"474338","Morlaix","532424","524505","Morlaix","Finistère","Bretagne","48.57797, -3.832514","7.13","7.55","7.5","6.16","7.18","","78","51","39","0","","","","","","","","","","","","","","","","","","","","","","true","91.6","","","",""
"444877","Cherbourg","532207","568669","Cherbourg-en-Cotentin","Manche","Normandie","49.633505, -1.621515","6.83","7.91","7.57","6.97","7.75","2.223728813559322","35","46","10","4","2","57","6","16","20","6.84","23.3","19.1","18.9","16","15.9","0","5","11","30","0","5","0","23","22","3","true","98.4","","","",""
"575142","Châtellerault","488194","505263","Châtellerault","Vienne","Nouvelle-Aquitaine","46.818594, 0.549279","7.07","7.81","7.16","7.16","7.68","","57","13","21","1","","","","","","","","","","","","","","","","","","","","","","true","98.7","","","",""
"671008","Tarbes","458373","489110","Tarbes","Hautes-Pyrénées","Occitanie","43.239955, 0.069415","7.21","8.23","7.3","7.52","7.71","","79","47","28","1","","","","","","","","","","","","","","","","","","","","","","true","","1","0","0","1"
"571216","Vendôme Villiers sur Loir","422891","448472","Vendôme","Loir-et-Cher","Centre-Val de Loire","47.821937, 1.021143","7.19","8.28","7.29","7.53","6.61","","23","16","17","7","","","","","","","","","","","","","","","","","","","","","","true","91.7","1","0","1","0"
"481754","La Baule Escoublac","411110","392277","Baule-Escoublac","Loire-Atlantique","Pays de la Loire","47.28869, -2.389102","7.84","8.4","8.03","7.39","7.75","","54","19","77","2","","","","","","","","","","","","","","","","","","","","","","true","93.8","1","0","0","0"
"725705","Mâcon Loché TGV","407629","447954","Mâcon","Saône-et-Loire","Bourgogne-Franche-Comté","46.282884, 4.778876","7.12","7.91","7.53","7.28","7.34","","26","30","41","5","","","","","","","","","","","","","","","","","","","","","","true","99.3","","","",""
"741728","Moutiers Salins Brides les Bains","341382","366290","Moûtiers","Savoie","Auvergne-Rhône-Alpes","45.486344, 6.531425","7.31","7.79","7.83","6.92","6.96","","13","7","18","1","","","","","","","","","","","","","","","","","","","","","","true","96.8","","","",""
"673400","Biarritz","337741","388748","Biarritz","Pyrénées-Atlantiques","Nouvelle-Aquitaine","43.459397, -1.545915","7.14","7.84","7.54","7.23","7.35","2.045762711864407","63","28","42","0","5","12","10","13","60","14.1","19.6","9.14","14.3","7.82","35.1","1","2","31","9","0","10","0","14","30","3","true","94.6","","","",""
"313882","TGV Haute-Picardie","324016","411348","Ablaincourt-Pressoir","Somme","Hauts-de-France","49.859182, 2.8319","7.8","8.5","8.11","7.63","8.19","","89","50","57","1","","","","","","","","","","","","","","","","","","","","","","true","97.2","1","0","1","0"
"741793","Bourg Saint Maurice","301649","288446","Bourg-Saint-Maurice","Savoie","Auvergne-Rhône-Alpes","45.619036, 6.771273","7.92","8.15","8.26","7.9","8.29","","11","6","23","3","","","","","","","","","","","","","","","","","","","","","","true","95.3","1","0","1","0"
"677005","Hendaye","300282","328688","Hendaye","Pyrénées-Atlantiques","Nouvelle-Aquitaine","43.353132, -1.781724","7.75","8.55","8.1","7.91","8.04","2.5203389830508476","25","15","20","0","5","5","9","14","67","9.28","12.1","9.44","12.6","13.5","43.1","3","2","34","33","0","5","0","9","12","2","true","","1","0","0","0"
"147322","Meuse TGV","178894","169443","Trois-Domaines","Meuse","Grand Est","48.978549, 5.270954","7.71","8.62","8.17","7.52","7.68","","37","12","13","1","","","","","","","","","","","","","","","","","","","","","","true","95.2","","","",""
"324095","Futuroscope","163557","152874","Chasseneuil-du-Poitou","Vienne","Nouvelle-Aquitaine","46.669918, 0.377209","7.05","8.53","7.8","7.3","6.06","","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","false","","","","",""
