"Code_UIC","Nom_de_la_gare","voyageurs_2016","voyageurs_2015","Commune","Departement","Region","WGS_84","Communication_perturbations","Proprete","Securite","Confort_d_attente","Commerces_restauration","MoyenneDistance","Assistance_simple","Rampe","Fauteuil","Rampe_et_fauteuil","Demarches_administratives_medicales_ou_achat","Deplacement_domicile_travail_habituel","Deplacement_domicile_etude_y_compris_stage","Deplacement_professionnel_occasionnel","Loisirs_vacances_visite_d_un_proche_ou_ami","c0_19","c20_29","c30_39","c40_49","c50_59","c60","deux_roues_motorisees","Autres_voitures_location_autopartage","Bus_Car_Navette","Marche","Metro_RER","Taxis","Tramway","Voiture_Conducteur","Voiture_passager","Velo","Wifi","Taux_conformite_proprete","Piano","Power_Station","Baby_Foot","Distr_Histoires_Courtes"
"581009","Bordeaux Saint-Jean","12253951","11975482","Bordeaux","Gironde","Nouvelle-Aquitaine","44.825873, -0.556697","7.14","7.57","7.76","7.26","7.67","3.666101694915254","2121","694","897","62","3","17","20","22","38","17.2","25.4","14.9","13.6","15.2","13.7","0","1","19","20","0","2","29","5","25","0","true","93.1","2","2","1","1"
"751008","Marseille Saint-Charles","12206077","12351081","Marseille","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","43.302666, 5.380407","6.7","7.2","7.25","6.63","7.37","6.094915254237288","1302","456","913","19","3","35","17","17","28","13.7","28.9","17.3","15.3","12.3","12.3","1","0","4","35","42","4","0","5","8","0","true","89.3","1","3","0","1"
"481002","Nantes","11009424","10592389","Nantes","Loire-Atlantique","Pays de la Loire","47.216148, -1.542356","6.65","7.65","7.51","6.45","6.99","3.8372881355932202","1298","478","539","33","1","39","10","22","26","9.15","23.8","15.2","17.5","18.1","15.2","0","0","20","17","0","5","30","20","5","3","true","93.8","1","3","1","1"
"611004","Toulouse Matabiau","10035656","9961154","Toulouse","Haute-Garonne","Occitanie","43.611206, 1.453616","6.93","7.79","7.59","6.81","7.35","3.272881355932203","1930","420","519","25","6","24","22","16","33","15.1","27.7","17.2","13.6","11.8","14.7","0","1","12","19","55","1","0","4","7","2","true","98.2","1","2","1","1"
"471003","Rennes","9531299","9252974","Rennes","Ille-et-Vilaine","Bretagne","48.103517, -1.672744","6.42","7.54","7.22","5.69","7.22","3.093220338983051","1277","454","517","17","2","37","11","21","28","12.5","25","14.9","16.3","16.9","13.9","0","1","10","22","41","5","0","6","11","3","true","87.1","1","1","1","1"
"773002","Montpellier Saint-Roch","8222823","8008942","Montpellier","Hérault","Occitanie","43.604738, 3.880674","7.00","7.97","7.64","7.47","7.06","1.616949152542373","954","410","504","6","4","21","18","20","37","14.6","29.8","15.4","11.9","13.5","14.6","0","1","4","31","0","2","46","3","11","2","true","89","1","0","0","1"
"141002","Nancy","7670652","7896116","Nancy","Meurthe-et-Moselle","Grand Est","48.689861, 6.174583","6.63","8.22","6.76","6.74","7.00","1.9508474576271186","480","328","97","7","5","26","26","19","23","23.5","29","13.7","11.4","11.6","10.8","0","0","20","44","0","1","15","6","11","3","true","93.4","1","3","0","1"
"747006","Grenoble","7256999","7530317","Grenoble","Isère","Auvergne-Rhône-Alpes","45.191493, 5.714584","6.11","6.96","7.1","6.28","6.98","1.7915254237288136","360","345","169","12","3","46","15","14","21","12.9","26.9","16.2","16.7","17.2","10.1","0","1","2","33","0","3","44","5","6","5","true","96.7","1","0","1","1"
"223263","Lille Europe","7133768","7447028","Lille","Nord","Hauts-de-France","50.639224, 3.075796","6.54","7.47","7.77","6.96","7.36","","698","372","532","17","1","38","5","29","27","5.94","25.7","20.4","18.7","16.3","12.6","0","0","4","22","32","6","6","12","17","1","true","96.1","1","3","1","1"
"192039","Metz","6955138","7390514","Metz","Moselle","Grand Est","49.109545, 6.176593","6.42","8.02","7.75","7.24","7.93","3.2389830508474575","261","201","63","1","4","41","17","19","19","28.2","59.5","33.8","27.4","29.4","21.4","0","1","18","43","0","1","13","14","9","1","true","94.3","1","3","1","0"
"756056","Nice","6859865","7164233","Nice","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","43.704556, 7.261904","6.41","7.89","7.36","6.59","6.57","1.111864406779661","309","136","186","7","6","33","20","9","32","14.4","28.7","14","13.7","13.8","15.4","1","2","13","51","0","1","20","2","8","2","true","92.5","1","0","0","1"
"722025","Lyon Perrache","6111077","5673875","Lyon","Rhône","Auvergne-Rhône-Alpes","45.748476, 4.825733","6.78","7.38","7.51","6.79","7.00","2.176271186440678","258","76","108","3","4","53","18","13","13","11","26.6","17.8","18.2","16","10.1","0","0","11","33","29","2","13","6","5","1","true","98.3","1","3","1","1"
"411017","Rouen Rive Droite","5846082","6118355","Rouen","Seine-Maritime","Normandie","49.448764, 1.094087","6.74","7.00","7.45","6.25","7.69","2.9305084745762713","275","144","111","10","4","36","26","14","19","17.8","29.2","15.9","11.9","14.3","10.9","1","0","15","33","0","2","30","6","12","2","true","89.1","1","0","1","0"
"713040","Dijon","5796935","6060661","Dijon","Côte-d'Or","Bourgogne-Franche-Comté","47.32337, 5.027208","7.00","7.83","7.51","7.19","7.25","2.166101694915254","570","180","167","14","5","23","23","23","26","19.5","25.4","10.3","14.6","15.6","14.4","0","0","9","32","0","3","36","6","11","3","true","94.1","1","0","1","0"
"111849","Marne la Vallée Chessy","5607932","5999068","Chessy","Seine-et-Marne","Île-de-France","48.869856, 2.78272","","","","","","3.4372881355932203","502","448","269","15","0","12","2","34","52","0.38","2.68","4.4","4.02","2.05","1.69","0","0","8","31","20","6","0","34","0","0","true","93.6","1","3","1","1"
"484006","Angers Saint Laud","5318581","5284928","Angers","Maine-et-Loire","Pays de la Loire","47.464647, -0.55682","7.67","7.85","7.84","7.28","7.92","3.688135593220339","676","243","214","31","2","41","12","25","19","16","20.1","13.1","16.8","16.8","17.2","0","3","17","31","0","4","15","16","10","3","true","90.4","1","0","1","1"
"313874","Amiens","5232769","5362757","Amiens","Somme","Hauts-de-France","49.890746, 2.312592","7.18","7.2","6.94","6.75","7.36","2.7542372881355934","78","74","19","0","4","23","53","6","13","34.5","32.2","8.86","9.89","8.05","6.51","0","0","30","56","0","1","0","4","7","2","true","94.8","1","2","1","0"
"571000","Tours","5156584","4664457","Tours","Indre-et-Loire","Centre-Val de Loire","47.389781, 0.693703","7.16","8.19","7.65","7.64","7.51","2.3813559322033897","397","301","103","22","3","42","13","20","21","17.3","24.7","10.9","18.1","14.6","14.3","0","0","12","47","0","1","19","6","7","7","true","95.6","1","0","1","1"
"396002","Le Mans","4928529","4914325","Mans","Sarthe","Pays de la Loire","47.995689, 0.192578","7.36","8.01","7.71","7.4","7.72","3.2745762711864406","682","226","260","17","4","37","15","20","24","15.4","19.4","13.9","17.5","19.4","14.5","1","2","4","24","0","1","46","14","6","3","true","92","0","0","0","1"
"182063","Mulhouse","4874589","5044556","Mulhouse","Haut-Rhin","Grand Est","47.742224, 7.342396","7.48","7.73","7.58","7.16","7.75","2.1745762711864405","232","126","51","4","3","34","21","19","22","25.9","25.5","16.7","12.6","13.6","5.68","0","1","11","27","0","3","29","8","15","6","true","97.6","0","1","0","1"
"775007","Nîmes","4006003","3836768","Nîmes","Gard","Occitanie","43.832291, 4.365845","6.35","7.97","7.44","7.19","7.04","3.811864406779661","613","147","212","15","2","25","16","19","37","21.9","24.4","12.7","13.3","11.2","16.4","1","2","21","40","0","3","0","11","18","4","true","97.1","1","0","0","1"
"342014","Arras","3994260","3972158","Arras","Pas-de-Calais","Hauts-de-France","50.286673, 2.781942","6.96","7.96","7.83","7.38","7.58","","141","93","71","5","","","","","","","","","","","","","","","","","","","","","","true","92.7","","","",""
