"Commune","Departement","Region","Longitude_WGS84","Latitude_WGS84","Code_UIC"
"Villeneuve-la-Comtesse","Charente-Maritime","Nouvelle-Aquitaine","-0.5130717","46.0986599","491258"
"Sainte-Eulalie","Gironde","Nouvelle-Aquitaine","-0.4939737","44.8978327","491282"
"Saujon","Charente-Maritime","Nouvelle-Aquitaine","-0.9300187","45.6665019","491811"
"Cercottes","Loiret","Centre-Val de Loire","1.8849813","47.9861553","543033"
"Orléans","Loiret","Centre-Val de Loire","1.904666","47.907960","543009"
"Toulouse","Haute-Garonne","Occitanie","1.4195801","43.5730877","497461"
"Dourdan","Essonne","Île-de-France","1.994908","48.535314","540179"
"Saint-Gilles-Croix-de-Vie","Vendée","Pays de la Loire","-1.941296","46.696466","486571"
"Saint-André-de-Cubzac","Gironde","Nouvelle-Aquitaine","-0.440479","44.991255","491241"
"Rosiers-sur-Loire","Maine-et-Loire","Pays de la Loire","-0.2205371","47.3625386","487876"
"Val de Virvée","Gironde","Nouvelle-Aquitaine","-0.4198843","45.0151419","491233"
"Montreuil-Bellay","Maine-et-Loire","Pays de la Loire","-0.1482834","47.1254181","487637"
"Loire-Authion","Maine-et-Loire","Pays de la Loire","-0.4000426","47.4342356","487843"
"Jonzac","Charente-Maritime","Nouvelle-Aquitaine","-0.44164","45.4387456","491142"
"Gauriaguet","Gironde","Nouvelle-Aquitaine","-0.3992689","45.0542936","491225"
"Chantonnay","Vendée","Pays de la Loire","-1.0544144","46.6898472","486332"
"Fougeré","Vendée","Pays de la Loire","-1.2319718","46.6653044","486316"
"Ingrandes-Le Fresne sur Loire","Maine-et-Loire","Pays de la Loire","-0.9210198","47.4056382","484360"
"Tonnay-Charente","Charente-Maritime","Nouvelle-Aquitaine","-0.8978981","45.9433989","485151"
"Étriché","Maine-et-Loire","Pays de la Loire","-0.4608993","47.6567082","484154"
"Angers","Maine-et-Loire","Pays de la Loire","-0.556820","47.464647","484006"
"Surgères","Charente-Maritime","Nouvelle-Aquitaine","-0.762284","46.113238","485227"
"Chalonnes-sur-Loire","Maine-et-Loire","Pays de la Loire","-0.74306","47.34306","484204"
"Rouillé","Vienne","Nouvelle-Aquitaine","0.042169","46.4190206","485532"
"Savenay","Loire-Atlantique","Pays de la Loire","-1.950957","47.358590","481838"
"Gouesnière","Ille-et-Vilaine","Bretagne","-1.9058105","48.6144207","478099"
"Saint-Pierre-Quiberon","Morbihan","Bretagne","-3.138905","47.5210574","476440"
"Montreuil-sur-Ille","Ille-et-Vilaine","Bretagne","-1.674155","48.307292","478032"
"Saint-Thégonnec Loc-Eguiner","Finistère","Bretagne","-3.9483116","48.4942082","474312"
"Drefféac","Loire-Atlantique","Pays de la Loire","-2.0503661","47.4817568","476770"
"Saint-Pol-de-Léon","Finistère","Bretagne","-3.98731","48.6768402","474569"
"Forest-Landerneau","Finistère","Bretagne","-4.3074515","48.4263093","474221"
"Saint-Pierre-Quiberon","Morbihan","Bretagne","-3.1363795","47.5369524","476432"
"Bonnemain","Ille-et-Vilaine","Bretagne","-1.7654125","48.4764049","478065"
"Ploemel","Morbihan","Bretagne","-3.0721919","47.652466","476408"
"Squiffiec","Côtes-d'Armor","Bretagne","-3.1742524","48.6243578","473819"
"Pont-Melvez","Côtes-d'Armor","Bretagne","-3.2738023","48.4803156","473579"
"Pontrieux","Côtes-d'Armor","Bretagne","-3.1644959","48.6980361","473835"
"Châteaulin","Finistère","Bretagne","-4.094308","48.2016033","474064"
"Méaugon","Côtes-d'Armor","Bretagne","-2.8439358","48.4996127","473124"
"Plounérin","Côtes-d'Armor","Bretagne","-3.5682311","48.5816298","473199"
"Callac","Côtes-d'Armor","Bretagne","-3.3828609","48.4262577","473587"
"Rosporden","Finistère","Bretagne","-3.832763","47.960273","474155"
"Callac","Côtes-d'Armor","Bretagne","-3.419782","48.4062201","473546"
"Dirinon","Finistère","Bretagne","-4.2855034","48.3926343","474015"
"Harfleur","Seine-Maritime","Normandie","0.1861468","49.5269596","413716"
