"RangVariations","RangNbVoy","Code_UIC","Nom_de_la_gare","voyageurs_2016","voyageurs_2015","Variations","Commune","Departement","Region","Longitude_WGS84","Latitude_WGS84","Communication_perturbations","Proprete","Securite","Confort_d_attente","Commerces_restauration","MoyenneDistance","Assistance_simple","Rampe","Fauteuil","Rampe_et_fauteuil","score_pmr13","Demarches_administratives_medicales_ou_achat","Deplacement_domicile_travail_habituel","Deplacement_domicile_etude_y_compris_stage","Deplacement_professionnel_occasionnel","Loisirs_vacances_visite_d_un_proche_ou_ami","c0_19","c20_29","c30_39","c40_49","c50_59","c60","deux_roues_motorisees","Autres_voitures_location_autopartage","Bus_Car_Navette","Marche","Metro_RER","Taxis","Tramway","Voiture_Conducteur","Voiture_passager","Velo","Wifi","Taux_conformite_proprete","Piano","Power_Station","Baby_Foot","Distr_Histoires_Courtes"
"41","4","391003","Paris Montparnasse","53593297","53890474","-0.0055144625374792585","Paris","Paris","Île-de-France","2.320514","48.841172","6.74","7.18","7.3","6.51","7.12","","1952","1052","1975","108","13","4","34","6","26","30","7.28","25.3","18","17.5","15.2","11.9","1","0","8","10","74","5","0","1","2","0","true","95.2","1","7","1","1"
"42","109","781278","Agde","632685","637131","-0.006978156768388291","Agde","Hérault","Occitanie","3.466203","43.317280","7.88","8.11","7.43","8.05","7.62","","60","21","34","1","4","","","","","","","","","","","","","","","","","","","","","","true","93.2","","","",""
"43","102","300822","Belfort Montbéliard TGV","731291","736456","-0.0070133178356887585","Meroux","Territoire de Belfort","Bourgogne-Franche-Comté","6.897687","47.585937","7.84","8.76","8.19","8.41","7.88","4.55","115","40","53","1","5","2","11","3","59","25","4.92","19.4","20.7","20.8","19.9","14.3","0","9","18","2","0","9","0","36","26","0","true","93.7","1","3","0","0"
"44","47","191007","Thionville","2741451","2763231","-0.00788207717704383","Thionville","Moselle","Grand Est","6.169543","49.353931","7.27","7.96","7.31","6.8","7.16","","41","47","19","0","3","","","","","","","","","","","","","","","","","","","","","","true","97.5","","","",""
"45","3","686006","Paris Gare de Lyon","100422655","101249573","-0.008167125801113255","Paris","Paris","Île-de-France","2.373520","48.844888","6.76","7.58","7.37","6.62","7.04","5.1","2299","1209","2891","113","13","0","37","9","25","29","4.13","25.9","21","18.8","15.7","11.1","0","0","6","8","72","5","0","4","3","1","true","96.8","2","3","1","4"
"46","68","741132","Aix les Bains le Revard","1283506","1295561","-0.009304849405006789","Aix-les-Bains","Savoie","Auvergne-Rhône-Alpes","5.909371","45.688161","7.17","8.32","7.63","7.33","7.8","","61","36","33","3","4","","","","","","","","","","","","","","","","","","","","","","true","","","","",""
"47","46","345009","Douai","2825738","2857231","-0.011022209964822584","Douai","Nord","Hauts-de-France","3.089986","50.371677","7.28","7.83","7.73","7.51","8.06","","88","58","26","1","5","","","","","","","","","","","","","","","","","","","","","","true","93","1","0","0","0"
"48","11","751008","Marseille Saint-Charles","12206077","12351081","-0.011740186952057072","Marseille","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","5.380407","43.302666","6.7","7.2","7.25","6.63","7.37","6.09","1302","456","913","19","11","3","35","17","17","28","13.7","28.9","17.3","15.3","12.3","12.3","1","0","4","35","42","4","0","5","8","0","true","89.3","1","3","0","1"
"49","82","611244","Montauban Ville Bourbon","1073433","1087141","-0.012609219963187849","Montauban","Tarn-et-Garonne","Occitanie","1.341496","44.014387","7.22","7.78","6.64","6.47","7.35","","90","40","30","2","4","","","","","","","","","","","","","","","","","","","","","","false","94.1","1","0","0","0"
"50","77","476002","Lorient","1160906","1176421","-0.013188305887093141","Lorient","Morbihan","Bretagne","-3.366221","47.755597","7.04","7.06","6.8","6.3","7.12","1.26","112","99","59","3","6","2","24","15","30","28","18.3","21.6","14.8","15.3","13.8","16.3","1","1","30","27","0","4","0","9","22","5","true","80.2","1","1","0","0"
