"Code_UIC","Assistance_simple","Rampe","Fauteuil","Rampe_et_fauteuil"
"394288","0","0","0","0"
"381897","7","10","0","0"
"313056","0","0","0","0"
"415018","27","21","8","0"
"713040","570","180","167","14"
"478164","6","3","0","0"
"713412","91","60","19","2"
"271403","0","0","0","0"
"394114","4","0","1","0"
"271148","0","0","0","0"
"386763","3","0","0","0"
"116327","0","2","0","0"
"545145","0","0","0","0"
"745679","3","1","1","0"
"387001","51","34","9","1"
"582478","26","6","8","2"
"613091","30","8","6","0"
"171330","0","0","0","0"
"682211","0","0","0","0"
"732404","2","0","0","0"
"382259","0","5","0","0"
"276246","0","0","0","0"
"191114","14","3","2","0"
"213058","6","1","2","0"
"286302","42","26","10","2"
"677005","25","15","20","0"
"295063","6","2","4","0"
"393462","0","0","0","0"
"394437","0","0","0","0"
"683243","3","1","0","0"
"393512","0","0","0","0"
"382432","0","0","0","0"
"116517","1","0","0","0"
"381871","0","0","0","0"
"485003","199","95","136","9"
"746305","1","4","0","0"
"394171","0","0","0","0"
"473108","70","16","20","1"
"734319","1","0","0","0"
"571828","8","0","3","0"
"582775","8","2","1","0"
"763557","0","0","0","0"
"271478","0","0","0","0"
"694000","1","5","1","0"
"481788","12","30","18","0"
"775866","2","0","1","0"
"645473","0","0","0","0"
"396002","682","226","260","17"
"718544","1","0","0","0"
"681247","0","0","0","0"
"345025","17","23","6","4"
"393280","0","0","0","0"
"713115","7","0","2","0"
"223263","698","372","532","17"
"142109","158","68","92","4"
"276576","1","0","0","0"
"723197","2864","1260","1253","48"
"762906","37","54","27","3"
"386425","2","12","0","2"
"381509","75","31","25","7"
"545186","0","0","0","0"
"681411","0","0","0","0"
"276667","0","0","0","0"
"594275","2","0","0","0"
"684001","12","3","3","4"
"611244","90","40","30","2"
"313346","0","2","0","0"
"723569","0","0","0","0"
"382879","1","5","0","0"
"574855","3","0","0","0"
"682278","0","0","0","0"
"313320","0","0","0","0"
"474338","78","51","39","0"
"547307","0","0","0","0"
"781104","312","74","110","4"
"116020","0","0","0","0"
"611343","15","6","8","0"
"113209","1","0","0","0"
"686030","3","10","0","0"
"391003","1952","1052","1975","108"
"384008","526","355","247","37"
"672006","151","48","57","4"
"784009","202","105","114","4"
"393421","3","0","0","0"
"381111","0","0","0","0"
"393041","0","0","0","0"
"276501","0","0","0","0"
"393314","3","0","0","0"
"317057","12","15","1","0"
"471003","1277","454","517","17"
"734749","2","2","0","0"
"726331","1","2","1","0"
"654798","1","5","0","0"
"313460","1","0","0","0"
"574897","3","4","3","0"
"193318","2","0","0","0"
"743633","6","0","0","0"
"446179","0","0","0","0"
"144014","11","18","3","0"
"683318","0","0","1","0"
"783175","10","0","0","0"
"382804","0","0","0","0"
"478107","97","57","64","0"
"382481","2","1","0","0"
"296004","35","26","11","3"
"393843","5","1","0","0"
"746438","8","1","2","0"
"276188","1","18","0","0"
"595827","4","5","0","0"
"751206","1","0","0","0"
"487009","4","2","1","0"
"586651","14","44","4","0"
"141044","46","9","1","1"
"725622","10","0","0","0"
"594093","9","0","0","0"
"594200","10","8","5","0"
"381798","1","1","0","0"
"415604","5","0","0","0"
"734426","0","0","0","0"
"576009","178","46","23","3"
"272021","0","0","0","0"
"271510","0","1","0","0"
"271734","0","0","0","0"
"382887","0","0","0","0"
"613661","0","0","0","0"
"747287","79","29","9","1"
"381657","0","1","0","0"
"781278","60","21","34","1"
"751404","19","12","2","0"
"319012","397","160","302","8"
"615005","46","25","6","2"
"444711","41","12","16","0"
"381491","1","0","0","0"
"381137","2","24","0","0"
"645002","47","4","3","0"
"694570","1","0","0","0"
"765008","143","56","25","1"
"721357","0","0","1","0"
"718007","134","120","26","0"
"276642","0","0","0","0"
"781005","205","63","92","3"
"381079","0","1","0","0"
"743005","116","53","47","2"
"741793","11","6","23","3"
"474007","129","81","88","0"
"444000","314","127","94","10"
"615039","8","3","2","0"
"611665","3","0","0","0"
"382499","0","9","0","0"
"481390","9","3","6","1"
"171926","174","71","83","0"
"172007","52","38","35","1"
"381194","0","0","0","0"
"396606","24","0","3","0"
"116582","2","4","2","0"
"393207","23","4","0","0"
"696807","1","0","0","0"
"182014","89","137","26","12"
"381087","2","59","0","0"
"611467","11","2","3","0"
"641415","1","1","0","0"
"175257","8","9","0","1"
"381863","5","0","0","0"
"741074","38","18","15","0"
"276345","0","0","0","0"
"116046","3","0","0","0"
"271122","0","0","0","0"
"545228","0","0","0","0"
"381418","0","0","0","0"
"276584","0","0","0","0"
"592121","2","0","0","0"
"726729","14","0","3","0"
"611616","5","4","7","0"
