Date/Mensuel;Code UIC;Nom de la gare;Assistance simple;Rampe;Fauteuil;Rampe et  fauteuil;Total
2016-10;0087142125;Culmont - Chalindrey;1;7;0;28;20
2016-10;0087415018;Dieppe;14;10;1;39;14
2016-10;0087345009;Douai;75;26;3;181;77
2016-10;0087171553;Épernay;15;3;0;112;94
2016-10;0087394114;Épernon;2;1;0;3;0
2016-10;0087317065;Étaples - Le Touquet;0;3;0;11;8
2016-10;0087387001;Évreux Normandie;19;3;7;62;33
2016-10;0087592121;Eymoutiers Vassivière;0;0;0;0;0
2016-10;0087324095;Futuroscope;7;0;0;9;2
2016-10;0087597609;Guéret;2;0;0;10;8
2016-10;0087286302;Hazebrouck;26;3;0;45;16
2016-10;0087677005;Hendaye;12;20;0;112;80
2016-10;0087295063;Hirson;1;3;0;9;5
2016-10;0087571885;Joué-lès-Tours;0;0;0;0;0
2016-10;0087394254;La Loupe;0;1;0;3;2
2016-10;0087473108;Lamballe;12;19;0;81;50
2016-10;0087296012;Laon;10;11;1;45;23
2016-10;0087763557;L'Argentière Les Écrins;2;0;0;2;0
2016-10;0087615476;Lavaur;7;0;0;9;2
2016-10;0087734160;Le Cendre - Orcet;0;0;0;5;5
2016-10;0087694000;Le Creusot Ville;0;0;0;2;2
2016-10;0087481788;Le Croisic;33;13;1;60;13
2016-10;0087345025;Lens;18;12;0;43;13
2016-10;0087223263;Lille Europe;406;558;15;1618;639
2016-10;0087194274;Longuyon;0;1;0;10;9
2015-03;0087597062;Issoudun;0;1;0;10;9
2015-03;0087763029;Valence TGV Rhône-Alpes Sud;127;144;6;557;280
2015-03;0087745646;Thonon-les-Bains;9;5;0;27;13
2015-03;0087185009;Vesoul;7;0;3;13;3
2015-03;0087713677;Seurre;6;0;0;6;0
2015-03;0087783175;Saint-Flour - Chaudes-Aigues;0;0;0;5;5
2015-03;0087411017;Rouen Rive Droite;154;53;11;381;163
2015-03;0087118158;Romilly-sur-Seine;5;1;0;8;2
2015-03;0087611137;Saint-Gaudens;18;1;2;53;32
2015-03;0087734749;Retournac;0;0;0;2;2
2015-03;0087313437;Villers-Bretonneux;0;0;0;1;1
2015-03;0087571687;Chinon;101;2;1;107;3
2015-03;0087696484;Decize;31;0;0;43;12
2015-03;0087742007;Modane;1;3;0;8;4
2015-03;0087671339;Lourdes;20;17;0;86;49
2015-03;0087142125;Culmont - Chalindrey;1;1;0;21;19
2015-03;0087276006;Creil;18;1;0;31;12
2015-03;0087613356;Caussade;0;0;0;0;0
2015-03;0087574855;Montrichard;0;0;0;4;4
2015-03;0087592121;Eymoutiers Vassivière;0;0;0;4;4
2015-03;0087317057;Rang-du-Fliers - Verton - Berck;7;6;0;19;6
2015-03;0087144014;Saint-Dié-des-Vosges;7;1;0;17;9
2015-03;0087281444;Saint-Omer;7;5;0;20;8
2015-03;0087745497;Annemasse;9;4;0;50;37
2015-03;0087583005;Angoulême;77;75;3;316;161
2015-03;0087300822;Belfort - Montbéliard TGV;27;16;0;85;42
2015-03;0087144055;Charmes;0;0;0;0;0
2015-03;0087765008;Avignon Centre;43;11;1;149;94
2015-03;0087481192;Ancenis;20;8;3;51;20
2015-03;0087741009;Chambéry - Challes-les-Eaux;104;48;2;288;134
2015-03;0087673400;Biarritz;20;13;1;66;32
2015-03;0087474007;Brest;59;36;1;158;62
2015-03;0087726000;Saint-Étienne Châteaucreux;62;34;5;275;174
2015-03;0087613422;Rodez;2;10;0;40;28
2015-03;0087481788;Le Croisic;16;4;0;25;5
2015-03;0087394254;La Loupe;0;1;0;2;1
2015-03;0087141150;Lunéville;3;4;1;16;8
2015-03;0087147322;Meuse TGV;10;4;0;28;14
2015-03;0087586545;Marmande;17;4;0;33;12
2015-03;0087734004;Clermont-Ferrand;36;27;3;415;349
2015-03;0087694778;Chauffailles;0;0;0;2;2
2015-03;0087271734;Villers-Cotterêts;0;0;0;0;0
2015-03;0087694570;Autun;0;0;0;3;3
2015-03;0087611749;Auch;19;0;0;25;6
2015-03;0087478107;Saint-Malo;41;37;2;122;42
2015-03;0087491001;Saintes;27;17;3;114;67
2015-03;0087611483;Latour-de-Carol - Enveitg;0;1;0;4;3
2015-03;0087613091;Figeac;2;1;0;17;14
2015-03;0087713115;Les Laumes Alésia;2;0;0;2;0
2015-03;0087296012;Laon;0;0;0;14;14
2015-03;0087393702;Massy TGV;77;62;1;214;74
2015-03;0087592725;Nexon;0;3;0;6;3
2015-03;0087313668;Méru;0;0;0;0;0
2015-03;0087313882;TGV Haute Picardie;21;38;4;92;29
2015-03;0087476606;Vannes;34;34;1;126;57
2015-03;0087721332;Villefranche-sur-Saône;17;3;0;32;12
2015-03;0087413385;Yvetot;11;1;0;19;7
2015-03;0087545756;Châteaudun;0;0;0;2;2
2015-03;0087394007;Chartres;35;10;0;73;28
2015-03;0087713040;Dijon;154;83;10;631;384
2015-03;0087641415;Commentry;0;0;0;0;0
2015-03;0087394114;Épernon;0;0;0;0;0
2015-03;0087543124;La Ferté-Saint-Aubin;0;0;0;0;0
2015-03;0087641464;La Bourboule;0;0;0;0;0
2015-03;0087734319;Langeac;0;0;0;0;0
2015-03;0087391003;Paris Montparnasse;762;787;33;2637;1055
2015-03;0087171009;Reims;33;30;3;244;178
2015-03;0087763557;L'Argentière Les Écrins;0;0;0;1;1
2015-03;0087271551;Le Plessis-Belleville;0;0;0;0;0
2015-03;0087481390;Challans;2;4;0;11;5
2015-03;0087345009;Douai;70;24;0;127;33
2015-03;0087313346;Montdidier;0;0;0;1;1
2015-03;0087756486;Menton;10;10;0;54;34
2015-03;0087313320;Moreuil;0;0;0;0;0
2015-03;0087571216;Vendôme - Villiers-sur-Loir;11;19;0;36;6
2015-03;0087641357;Vallon-en-Sully;0;0;0;0;0
2015-03;0087571000;Tours;223;50;2;596;321
2015-03;0087594200;Uzerche;1;0;0;9;8
2015-03;0087746479;Saint-Gervais-les-Bains Le Fayet;5;8;0;27;14
2015-03;0087447003;Saint-Lô;15;0;0;21;6
2015-04;0087594002;Brive-la-Gaillarde;30;38;3;226;155
2015-04;0087187971;Bale SNCF;4;7;0;13;2
2015-04;0087271494;Aéroport Charles de Gaulle 2 TGV;127;225;4;500;144
2015-04;0087753657;Arles;20;6;0;43;17
2015-04;0087545756;Châteaudun;1;1;0;4;2
2015-04;0087673202;Dax;52;77;4;305;172
2015-04;0087547000;Paris Austerlitz;126;178;31;760;425
2015-04;0087763607;Briançon;3;4;0;23;16
2015-04;0087615468;Castres;12;6;0;40;22
2015-04;0087481838;Savenay;12;2;0;30;16
2015-04;0087571216;Vendôme - Villiers-sur-Loir;14;9;0;37;14
2015-04;0087174276;Vitry-le-François;0;3;0;16;13
2015-04;0087594499;Tulle;2;1;0;9;6
2015-04;0087194001;Longwy;1;2;0;6;3
2015-04;0087396234;Sillé-le-Guillaume;23;0;0;37;14
2015-04;0087751206;Sisteron;0;0;0;0;0
2015-04;0087773200;Sète;21;38;0;141;82
2015-04;0087543074;Toury;0;0;0;0;0
2015-04;0087583005;Angoulême;64;100;9;422;249
2015-04;0087751750;Aubagne;31;6;0;52;15
2017-08;0087366922;Saint-Germain-en-Laye Bel Air - Fourqueux;0;0;0;0;0
2017-08;0087742320;Saint-Jean-de-Maurienne Arvan;7;5;1;28;15
2017-08;0087671008;Tarbes;35;35;1;208;137
2017-08;0087386649;Villennes-sur-Seine;0;0;0;0;0
2017-08;0087726760;Aurec;0;0;0;0;0
2017-08;0087683789;Avallon;0;0;0;1;1
