Code gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;Agence gare;Région SNCF;Unité gare;UT;Nbre plateformes;N° plateforme;Intitulé plateforme;Code postal;Commune;Département - Commune;Département;Région;Longitude WGS84;Latitude WGS84;Code UIC;TVS;Segment DRG;Niveau de service;SOP;RG;Date fin validité plateforme;WGS 84
02515;Enghien-les-Bains;Enghien-les-Bains;Yes;No;Agence Ile-de-France;REGION DE PARIS-NORD;;ENGHIEN LES BAINS P GARE;1;1;Enghien-les-Bains;95880;Enghien-les-Bains;95-210;Val-d'Oise;Île-de-France;2.30699;48.97309;0087276022;ENK;b;;;GARE ENGHIEN LES BAINS;;48.97309, 2.30699
02513;Ermont - Eaubonne;Ermont - Eaubonne;Yes;No;Agence Ile-de-France;REGION DE PARIS-NORD;;ERMONT EAUBONNE P GARE;2;1;Ermont - Eaubonne;95120;Ermont;95-219;Val-d'Oise;Île-de-France;2.2712294;48.9803322;0087276055;ERT;b;;;GARE ERMONT EAUBONNE;;48.9803322, 2.2712294
02547;Vert Galant;Vert Galant;Yes;No;Agence Ile-de-France;REGION DE PARIS-NORD;;VERT GALANT P GARE;1;1;Vert Galant;93420;Villepinte;93-078;Seine-Saint-Denis;Île-de-France;2.56670;48.94467;0087271437;VGL;b;;;GARE VERT GALANT;;48.94467, 2.5667
02548;Sevran - Livry;Sevran - Livry;Yes;No;Agence Ile-de-France;REGION DE PARIS-NORD;;SEVRAN LIVRY GARE;1;1;Sevran - Livry;93270;Sevran;93-071;Seine-Saint-Denis;Île-de-France;2.53484;48.93601;0087271429;SEV;b;;;GARE SEVRAN LIVRY;;48.93601, 2.53484
02264;Blangy-sur-Bresle;Blangy-sur-Bresle;Yes;No;Agence Manche-Nord;REGION PICARDIE;UG Haute Normandie;BLANGY SUR BRESLE GARE;1;1;Blangy-sur-Bresle;76340;Blangy-sur-Bresle;76-101;Seine-Maritime;Normandie;1.6259074;49.9326071;0087313809;BBM;c;1;;GARES C HAUTE NORMANDIE;;49.9326071, 1.6259074
02298;Clermont de l'Oise;Clermont de l'Oise;Yes;No;Agence Manche-Nord;REGION DE PARIS-NORD;UG Picardie;CLERMONT DE L OISE GARE;1;1;Clermont de l'Oise;60600;Clermont;60-157;Oise;Hauts-de-France;2.41767;49.38531;0087313304;CDO;b;2;;GARE CLERMONT DE L OISE;;49.38531, 2.41767
02268;Grandvilliers;Grandvilliers;Yes;No;Agence Manche-Nord;REGION PICARDIE;UG Picardie;GRANDVILLIERS P GARE;1;1;Grandvilliers;60210;Grandvilliers;60-286;Oise;Hauts-de-France;1.9384836;49.6593779;0087313734;GAR;c;1;;GARES C PICARDIE;;49.6593779, 1.9384836
02276;Rochy-Condé;Rochy-Condé;Yes;No;Agence Manche-Nord;REGION DE PARIS-NORD;UG Picardie;ROCHY CONDE GARE;1;1;Rochy-Condé;60510;Rochy-Condé;60-542;Oise;Hauts-de-France;2.1727344;49.3986042;0087313601;RCY;c;1;;GARES C PICARDIE;;49.3986042, 2.1727344
02287;Rosières;Rosières;Yes;No;Agence Manche-Nord;REGION PICARDIE;UG Picardie;ROSIERES GARE;1;1;Rosières;80170;Rosières-en-Santerre;80-680;Somme;Hauts-de-France;2.71141;49.82253;0087313460;ROS;b;1;;Gare Rosières;;49.82253, 2.71141
02266;Abancourt;Abancourt;Yes;No;Agence Manche-Nord;REGION PICARDIE;UG Picardie;ABANCOURT P GARE;1;1;Abancourt;60220;Abancourt;60-001;Oise;Hauts-de-France;1.7743058;49.6852237;0087313759;ABT;c;1;;GARES C PICARDIE;;49.6852237, 1.7743058
02279;Mouy - Bury;Mouy - Bury;Yes;No;Agence Manche-Nord;REGION DE PARIS-NORD;UG Picardie;MOUY BURY P GARE;1;1;Mouy - Bury;60250;Mouy;60-439;Oise;Hauts-de-France;2.32635;49.32045;0087313577;MUY;b;1;;Gare Mouy Bury;;49.32045, 2.32635
02286;Chaulnes;Chaulnes;Yes;No;Agence Manche-Nord;REGION PICARDIE;UG Picardie;CHAULNES GARE;1;1;Chaulnes;80320;Chaulnes;80-186;Somme;Hauts-de-France;2.8011421;49.8076201;0087313478;CHL;c;1;;GARES C PICARDIE;;49.8076201, 2.8011421
02285;Nesle;Nesle;Yes;No;Agence Manche-Nord;REGION PICARDIE;UG Picardie;NESLE (SOMME) P GARE;1;1;Nesle;80190;Nesle;80-585;Somme;Hauts-de-France;2.9089882;49.7639147;0087313486;NES;c;1;;GARES C PICARDIE;;49.7639147, 2.9089882
02275;Méru;Méru;Yes;No;Agence Manche-Nord;REGION DE PARIS-NORD;UG Picardie;MERU GARE;1;1;Méru;60110;Méru;60-395;Oise;Hauts-de-France;2.13254;49.23233;0087313668;MRU;b;1;;Gare Meru;;49.23233, 2.13254
02605;Eichhoffen;Eichhoffen;Yes;No;Agence Est-Européen;REGION ALSACE;UG TER Rhénan;EICHHOFFEN GARE;1;1;Eichhoffen;67140;Eichhoffen;67-120;Bas-Rhin;Grand Est;7.4495524;48.3824829;0087214239;ECF;c;1;;GARES C ALSACE;;48.3824829, 7.4495524
02602;Goxwiller;Goxwiller;Yes;No;Agence Est-Européen;REGION ALSACE;UG TER Rhénan;GOXWILLER GARE;1;1;Goxwiller;67210;Goxwiller;67-164;Bas-Rhin;Grand Est;7.4787296;48.4327551;0087214270;GXW;c;1;;GARES C ALSACE;;48.4327551, 7.4787296
02613;Ebersheim;Ebersheim;Yes;No;Agence Est-Européen;REGION ALSACE;UG TER Rhénan;EBERSHEIM GARE;1;1;Ebersheim;67600;Ebersheim;67-115;Bas-Rhin;Grand Est;7.494471;48.3099953;0087214106;EBH;c;1;;GARES C ALSACE;;48.3099953, 7.494471
02615;Ingwiller;Ingwiller;Yes;No;Agence Est-Européen;REGION ALSACE;UG TER Rhénan;INGWILLER GARE;1;1;Ingwiller;67340;Ingwiller;67-222;Bas-Rhin;Grand Est;7.4771550;48.8723277;0087213785;IGW;b;1;;Gare Ingwiller;;48.8723277, 7.477155
02580;Fouday;Fouday;Yes;No;Agence Est-Européen;REGION ALSACE;UG TER Rhénan;FOUDAY GARE;1;1;Fouday;67130;Fouday;67-144;Bas-Rhin;Grand Est;7.1874246;48.4248874;0087214734;FDY;c;1;;GARES C ALSACE;;48.4248874, 7.1874246
