Code gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;Agence gare;Région SNCF;Unité gare;UT;Nbre plateformes;N° plateforme;Intitulé plateforme;Code postal;Commune;Département - Commune;Département;Région;Longitude WGS84;Latitude WGS84;Code UIC;TVS;Segment DRG;Niveau de service;SOP;RG;Date fin validité plateforme;WGS 84
00528;Bourgoin-Jallieu;Bourgoin-Jallieu;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Lyon;BOURGOIN JALLIEU GARE;1;1;Bourgoin-Jallieu;38300;Bourgoin-Jallieu;38-053;Isère;Auvergne-Rhône-Alpes;5.273401;45.583954;0087723429;BRG;b;1;;Gare Bourgoin Jallieu;;45.583954, 5.273401
00135;L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse;L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;L ISLE FONTAINE DE VAUCLUSE GARE;1;1;L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse;84800;Isle-sur-la-Sorgue;84-054;Vaucluse;Provence-Alpes-Côte d'Azur;5.047615;43.917393;0087765479;LFV;b;1;;Gare L'Isle/Sorgue Fontaine;;43.917393, 5.047615
00121;Villeneuve-lès-Maguelone;Villeneuve-lès-Maguelone;Yes;No;Agence Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;VILLENEUVE LES MAGUELONNE GARE;1;1;Villeneuve-lès-Maguelone;34750;Villeneuve-lès-Maguelone;34-337;Hérault;Occitanie;3.849917;43.5438231;0087773515;VLM;c;1;;GARES C LANGUEDOC ROUSSILLON;;43.5438231, 3.849917
00126;Valergues - Lansargues;Valergues - Lansargues;Yes;No;Agence Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;VALERGUES LANSARGUES GARE;1;1;Valergues - Lansargues;34130;Valergues;34-321;Hérault;Occitanie;4.0601085;43.672678;0087773432;VGU;c;1;;GARES C LANGUEDOC ROUSSILLON;;43.672678, 4.0601085
00098;Nozières - Brignon;Nozières - Brignon;Yes;No;Agence Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;NOZIERES BRIGNON P GARE;1;1;Nozières - Brignon;30190;Brignon;30-053;Gard;Occitanie;4.2072916;43.9760134;0087775353;NOZ;c;1;;GARES C LANGUEDOC ROUSSILLON;;43.9760134, 4.2072916
00081;Le Grau-du-Roi;Le Grau-du-Roi;Yes;No;Agence Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;LE GRAU DU ROI GARE;1;1;Le Grau-du-Roi;30240;Grau-du-Roi;30-133;Gard;Occitanie;4.140338;43.5371273;0087775866;LGR;c;1;;GARES C LANGUEDOC ROUSSILLON;;43.5371273, 4.140338
00111;Vergèze - Codognan;Vergèze - Codognan;Yes;No;Agence Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;VERGEZE CODOGNAN GARE;1;1;Vergèze - Codognan;30310;Vergèze;30-344;Gard;Occitanie;4.218842;43.739877;0087775114;VZC;b;1;;Gare Vergèze Codognan;;43.739877, 4.218842
00117;Beaucaire;Beaucaire;Yes;No;Agence Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;BEAUCAIRE GARE;1;1;Beaucaire;30300;Beaucaire;30-032;Gard;Occitanie;4.6470865;43.80209;0087775023;BCK;c;1;;GARES C LANGUEDOC ROUSSILLON;;43.80209, 4.6470865
00131;Entraigues-sur-la-Sorgue;Entraigues-sur-la-Sorgue;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;ENTRAIGUES SUR LA SORGUE GARE;1;1;Entraigues-sur-la-Sorgue;84700;Entraigues-sur-la-Sorgue;84-043;Vaucluse;Provence-Alpes-Côte d'Azur;4.9226971;44.0054278;0087765826;;c;;;GARES C PACA;;44.0054278, 4.9226971
00128;Lunel;Lunel;Yes;No;Agence Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;LUNEL GARE;1;1;Lunel;34400;Lunel;34-145;Hérault;Occitanie;4.131086;43.679392;0087773408;LUN;b;1;;Gare Lunel;;43.679392, 4.131086
00100;Alès;Alès;Yes;No;Agence Grand Sud;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;ALES GARE;1;1;Alès;30100;Alès;30-007;Gard;Occitanie;4.084948;44.127825;0087775288;ALS;b;2;;GARE ALES;;44.127825, 4.084948
00178;Tain-l'Hermitage - Tournon;Tain-l'Hermitage - Tournon;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Drôme Ardèche;TAIN L HERMITAGE TOURNON GARE;1;1;Tain-l'Hermitage - Tournon;26600;Tain-l'Hermitage;26-347;Drôme;Auvergne-Rhône-Alpes;4.839967;45.072183;0087761163;TAI;b;1;;Gare Tain l'Hermitage Torunon;;45.072183, 4.839967
00162;Valence TGV Rhône-Alpes Sud;Valence TGV Rhône-Alpes Sud;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Drôme Ardèche;VALENCE TGV RHONE ALPES SUD;1;1;Valence TGV Rhône-Alpes Sud;26958;Alixan;26-004;Drôme;Auvergne-Rhône-Alpes;4.978703;44.991545;0087763029;VAL;a;2;;GARE VALENCE TGV;;44.991545, 4.978703
00141;Tarascon;Tarascon;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;TARASCON GARE;1;1;Tarascon;13150;Tarascon;13-108;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;4.657206;43.801331;0087765354;TCN;b;1;;Gare Tarascon sur Rhône;;43.801331, 4.657206
00153;Laragne;Laragne;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;LARAGNE GARE;1;1;Laragne;05300;Laragne-Montéglin;05-070;Hautes-Alpes;Provence-Alpes-Côte d'Azur;5.8189832;44.3164984;0087763755;LRN;c;1;;GARES C PACA;;44.3164984, 5.8189832
00154;Serres;Serres;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;SERRES (HAUTES ALPES) GARE;1;1;Serres;05700;Serres;05-166;Hautes-Alpes;Provence-Alpes-Côte d'Azur;5.7184201;44.4246573;0087763722;SRE;c;1;;GARES C PACA;;44.4246573, 5.7184201
00186;Ranguin;Ranguin;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;RANGUIN P GARE;1;1;Ranguin;06400;Cannes;06-029;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;6.9693134;43.5691636;0087757732;RGN;c;1;;GARES C PACA;;43.5691636, 6.9693134
00145;Orange;Orange;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;ORANGE GARE;1;1;Orange;84100;Orange;84-087;Vaucluse;Provence-Alpes-Côte d'Azur;4.819594;44.137304;0087765107;OGE;b;2;;GARE ORANGE;;44.137304, 4.819594
00163;Gap;Gap;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;GAP GARE;1;1;Gap;05000;Gap;05-061;Hautes-Alpes;Provence-Alpes-Côte d'Azur;6.085638;44.563693;0087763003;GAP;b;2;;GARE GAP;;44.563693, 6.085638
00166;Die;Die;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Drôme Ardèche;DIE GARE;1;1;Die;26150;Die;26-113;Drôme;Auvergne-Rhône-Alpes;5.3632053;44.7582549;0087761841;DIE;c;1;;GARES C RHONE ALPES;;44.7582549, 5.3632053
00148;Le Teil;Le Teil;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Drôme Ardèche;LE TEIL (ARDECHE) GARE;1;1;Le Teil;07400;Teil;07-319;Ardèche;Auvergne-Rhône-Alpes;4.685992;44.5525285;0087764472;;c;1;;GARES C RHONE ALPES;;44.5525285, 4.685992
00230;Villeneuve-Loubet;Villeneuve-Loubet;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;VILLENEUVE LOUBET PLAGE GARE;1;1;Villeneuve-Loubet;06270;Villeneuve-Loubet;06-161;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;7.134066;43.629928;0087756304;VVP;b;1;;Gare Villeneuve Loubet Plage;;43.629928, 7.134066
00191;Golfe Juan Vallauris;Golfe Juan Vallauris;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;GOLFE JUAN VALLAURIS GARE;1;1;Golfe Juan Vallauris;06220;Vallauris;06-155;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;7.073578;43.566501;0087757641;GLF;b;1;;Gare Golfe Juan Vallauris;;43.566501, 7.073578
00223;Beaulieu-sur-Mer;Beaulieu-sur-Mer;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;BEAULIEU SUR MER GARE;1;1;Beaulieu-sur-Mer;06310;Beaulieu-sur-Mer;06-011;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;7.331545;43.706651;0087756379;BUM;b;1;;Gare Beaulieu sur Mer;;43.706651, 7.331545
00209;Breil-sur-Roya;Breil-sur-Roya;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;BREIL SUR ROYA GARE;1;1;Breil-sur-Roya;06540;Breil-sur-Roya;06-023;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;7.5163276;43.944039;0087756833;BRE;c;1;;GARES C PACA;;43.944039, 7.5163276
00197;Anthéor Cap Roux;Anthéor Cap Roux;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;ANTHEOR CAP ROUX GARE;1;1;Anthéor Cap Roux;83530;Saint-Raphaël;83-118;Var;Provence-Alpes-Côte d'Azur;6.8921036;43.4349641;0087757567;AHC;c;1;;GARES C PACA;;43.4349641, 6.8921036
00212;L'Escarène;L'Escarène;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;L ESCARENE GARE;1;1;L'Escarène;06440;Escarène;06-057;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;7.3517085;43.8397674;0087756809;ESR;c;1;;GARES C PACA;;43.8397674, 7.3517085
00187;Grasse;Grasse;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;GRASSE GARE;1;1;Grasse;06520;Grasse;06-069;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;6.925524;43.653317;0087757724;GRA;b;1;;Gare Grasse;;43.653317, 6.925524
00205;Tende;Tende;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;TENDE GARE;1;1;Tende;06430;Tende;06-163;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;7.5941608;44.089922;0087756882;TND;c;1;;GARES C PACA;;44.089922, 7.5941608
00218;Menton;Menton;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;MENTON GARE;1;1;Menton;06500;Menton;06-083;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;7.493300;43.774444;0087756486;MEN;b;2;;GARE MENTON;;43.774444, 7.4933
00234;Hyères;Hyères;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;HYERES GARE;1;1;Hyères;83400;Hyères;83-069;Var;Provence-Alpes-Côte d'Azur;6.124223;43.108867;0087755629;HYE;b;2;;Gare Hyères;;43.108867, 6.124223
00351;Groisy - Thorens - La Caille;Groisy - Thorens - La Caille;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Alpes;GROISY THORENS LA CAILLE GARE;1;1;Groisy - Thorens - La Caille;74570;Groisy;74-137;Haute-Savoie;Auvergne-Rhône-Alpes;6.17568;46.0111205;0087746248;GTC;c;1;;GARES C RHONE ALPES;;46.0111205, 6.17568
00335;Les Bossons;Les Bossons;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Etablissement Mont Blanc;LES BOSSONS GARE;1;1;Les Bossons;74400;Chamonix-Mont-Blanc;74-056;Haute-Savoie;Auvergne-Rhône-Alpes;6.8391969;45.9067455;0087746768;BHS;c;1;;GARES C RHONE ALPES;;45.9067455, 6.8391969
00360;Thonon-les-Bains;Thonon-les-Bains;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Alpes;THONON LES BAINS GARE;1;1;Thonon-les-Bains;74200;Thonon-les-Bains;74-281;Haute-Savoie;Auvergne-Rhône-Alpes;6.481669;46.369004;0087745646;THO;b;1;;GARE THONON LES BAINS;;46.369004, 6.481669
00378;Simandre-sur-Suran;Simandre-sur-Suran;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Alpes;SIMANDRE SUR SURAN GARE;1;1;Simandre-sur-Suran;01250;Simandre-sur-Suran;01-408;Ain;Auvergne-Rhône-Alpes;5.4210929;46.2202097;0087743336;SUS;c;1;;GARES C RHONE ALPES;;46.2202097, 5.4210929
00321;Le Grand-Lemps;Le Grand-Lemps;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Alpes;LE GRAND LEMPS GARE;1;1;Le Grand-Lemps;38690;Grand-Lemps;38-182;Isère;Auvergne-Rhône-Alpes;5.4231117;45.3966261;0087747220;LGL;c;1;;GARES C RHONE ALPES;;45.3966261, 5.4231117
00341;Chedde;Chedde;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Etablissement Mont Blanc;CHEDDE GARE;1;1;Chedde;74190;Passy;74-208;Haute-Savoie;Auvergne-Rhône-Alpes;6.7197662;45.9263464;0087746701;CED;c;1;;GARES C RHONE ALPES;;45.9263464, 6.7197662
00348;Bonneville;Bonneville;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Alpes;BONNEVILLE P GARE;1;1;Bonneville;74130;Bonneville;74-042;Haute-Savoie;Auvergne-Rhône-Alpes;6.416524;46.077772;0087746339;BON;b;1;;Gare Bonneville;;46.077772, 6.416524
00311;Brignoud;Brignoud;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Alpes;BRIGNOUD GARE;1;1;Brignoud;38190;Villard-Bonnot;38-547;Isère;Auvergne-Rhône-Alpes;5.901472;45.262450;0087747451;BNU;b;1;;Gare Brignoud;;45.26245, 5.901472
00346;Cluses;Cluses;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Alpes;CLUSES (HAUTE SAVOIE) GARE;1;1;Cluses;74300;Cluses;74-081;Haute-Savoie;Auvergne-Rhône-Alpes;6.582663;46.061447;0087746370;CLU;b;1;;Gare Cluses;;46.061447, 6.582663
00315;Voreppe;Voreppe;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Alpes;VOREPPE GARE;1;1;Voreppe;38340;Voreppe;38-565;Isère;Auvergne-Rhône-Alpes;5.632119;45.290417;0087747337;VPE;b;1;;Gare Voreppe;;45.290417, 5.632119
00401;Saint-Béron - La Bridoire;Saint-Béron - La Bridoire;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Alpes;SAINT BERON LA BRIDOIRE GARE;1;1;Saint-Béron - La Bridoire;73520;Saint-Béron;73-226;Savoie;Auvergne-Rhône-Alpes;5.7319345;45.5038935;0087741454;SBR;c;1;;GARES C RHONE ALPES;;45.5038935, 5.7319345
00398;Virieu-le-Grand - Belley;Virieu-le-Grand - Belley;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Alpes;VIRIEU LE GRAND BELLEY GARE;1;1;Virieu-le-Grand - Belley;01510;Virieu-le-Grand;01-452;Ain;Auvergne-Rhône-Alpes;5.6536162;45.8482817;0087741504;VRU;c;1;;GARES C RHONE ALPES;;45.8482817, 5.6536162
00391;Aime - La Plagne;Aime - La Plagne;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Alpes;AIME LA PLAGNE GARE;1;1;Aime - La Plagne;73210;Aime-la-Plagne;73-006;Savoie;Auvergne-Rhône-Alpes;6.648646;45.554400;0087741769;ANJ;b;1;;Gare Aime La Plagne;;45.5544, 6.648646
00379;Villereversure;Villereversure;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Alpes;VILLEREVERSURE GARE;1;1;Villereversure;01250;Villereversure;01-447;Ain;Auvergne-Rhône-Alpes;5.3977089;46.1944145;0087743328;VEU;c;1;;GARES C RHONE ALPES;;46.1944145, 5.3977089
00395;Albertville;Albertville;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Alpes;ALBERTVILLE GARE;1;1;Albertville;73200;Albertville;73-011;Savoie;Auvergne-Rhône-Alpes;6.383167;45.672977;0087741645;ALV;b;1;;GARE ALBERTVILLE;;45.672977, 6.383167
00396;Frontenex;Frontenex;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Alpes;FRONTENEX GARE;1;1;Frontenex;73460;Frontenex;73-121;Savoie;Auvergne-Rhône-Alpes;6.3140556;45.6305461;0087741629;TFF;c;1;;GARES C RHONE ALPES;;45.6305461, 6.3140556
00500;Crêches-sur-Saône;Crêches-sur-Saône;Yes;No;Agence Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Bourgogne;CRECHES SUR SAONE GARE;1;1;Crêches-sur-Saône;71680;Crêches-sur-Saône;71-150;Saône-et-Loire;Bourgogne-Franche-Comté;4.7840233;46.2461762;0087725713;KSA;c;1;;GARES C BOURGOGNE;;46.2461762, 4.7840233
00507;Chalon-sur-Saône;Chalon-sur-Saône;Yes;No;Agence Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Bourgogne;CHALON SUR SAONE P GARE;1;1;Chalon-sur-Saône;71100;Chalon-sur-Saône;71-076;Saône-et-Loire;Bourgogne-Franche-Comté;4.843454;46.781612;0087725002;CSS;b;2;;GARE CHALON SUR SAONE;;46.781612, 4.843454
00491;Saint-Étienne Châteaucreux;Saint-Étienne Châteaucreux;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Loire;SAINT ETIENNE CHATEAUCREUX GARE;1;1;Saint-Étienne Châteaucreux;42000;Saint-Étienne;42-218;Loire;Auvergne-Rhône-Alpes;4.399722;45.443366;0087726000;SEN;a;2;;GARE ST ETIENNE CHATEAUCREUX;;45.443366, 4.399722
00490;Saint-Étienne La Terrasse;Saint-Étienne La Terrasse;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Loire;SAINT ETIENNE LA TERRASSE GARE;1;1;Saint-Étienne La Terrasse;42000;Saint-Étienne;42-218;Loire;Auvergne-Rhône-Alpes;4.379601;45.464843;0087726158;SET;b;1;;Gare St Etienne La Terasse;;45.464843, 4.379601
00498;Romanèche-Thorins;Romanèche-Thorins;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Bourgogne;ROMANECHE THORINS GARE;1;1;Romanèche-Thorins;71570;Romanèche-Thorins;71-372;Saône-et-Loire;Bourgogne-Franche-Comté;4.7421014;46.1763913;0087725739;RHR;c;1;;GARES C BOURGOGNE;;46.1763913, 4.7421014
00509;Saint-Paul-de-Varax;Saint-Paul-de-Varax;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Lyon;SAINT PAUL DE VARAX GARE;1;1;Saint-Paul-de-Varax;01240;Saint-Paul-de-Varax;01-383;Ain;Auvergne-Rhône-Alpes;5.1282046;46.1000331;0087723783;SVX;c;1;;GARES C RHONE ALPES;;46.1000331, 5.1282046
00503;Senozan;Senozan;Yes;No;Agence Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Bourgogne;SENOZAN P GARE;1;1;Senozan;71260;Senozan;71-513;Saône-et-Loire;Bourgogne-Franche-Comté;4.8710626;46.3921451;0087725671;SOZ;c;1;;GARES C BOURGOGNE;;46.3921451, 4.8710626
00478;Montbrison;Montbrison;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Loire;MONTBRISON GARE;1;1;Montbrison;42600;Montbrison;42-147;Loire;Auvergne-Rhône-Alpes;4.078282;45.604454;0087726448;MOB;b;1;;Gare Montbrison;;45.604454, 4.078282
00494;Mézériat;Mézériat;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Alpes;MEZERIAT GARE;1;1;Mézériat;01660;Mézériat;01-246;Ain;Auvergne-Rhône-Alpes;5.046622;46.2350502;0087725838;MZF;c;1;;GARES C RHONE ALPES;;46.2350502, 5.046622
00481;Bonson;Bonson;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Loire;BONSON GARE;1;1;Bonson;42160;Bonson;42-022;Loire;Auvergne-Rhône-Alpes;4.2163084;45.5221941;0087726414;BSN;c;1;;GARES C RHONE ALPES;;45.5221941, 4.2163084
00443;Parent - Coudes - Champeix;Parent - Coudes - Champeix;Yes;No;Agence Centre Est Rhône Alpin;REGION AUVERGNE;UG Auvergne;PARENT COUDES CHAMPEIX GARE;1;1;Parent - Coudes - Champeix;63270;Parent;63-269;Puy-de-Dôme;Auvergne-Rhône-Alpes;3.2178245;45.6139737;0087734194;PCC;c;1;;GARES C AUVERGNE;;45.6139737, 3.2178245
00446;Le Cendre - Orcet;Le Cendre - Orcet;Yes;No;Agence Centre Est Rhône Alpin;REGION AUVERGNE;UG Auvergne;LE CENDRE ORCET GARE;1;1;Le Cendre - Orcet;63670;Cendre;63-069;Puy-de-Dôme;Auvergne-Rhône-Alpes;3.188666;45.723796;0087734160;CZJ;b;1;;Gare Le Cendre Orcet;;45.723796, 3.188666
00471;Bas - Monistrol;Bas - Monistrol;Yes;No;Agence Centre Est Rhône Alpin;REGION AUVERGNE;UG Auvergne;BAS MONISTROL GARE;1;1;Bas - Monistrol;43120;Bas-en-Basset;43-020;Haute-Loire;Auvergne-Rhône-Alpes;4.139602;45.297596;0087726778;BMO;b;1;;Gare Bas Monistrol;;45.297596, 4.139602
00444;Vic-le-Comte;Vic-le-Comte;Yes;No;Agence Centre Est Rhône Alpin;REGION AUVERGNE;UG Auvergne;VIC LE COMTE GARE;1;1;Vic-le-Comte;63270;Vic-le-Comte;63-457;Puy-de-Dôme;Auvergne-Rhône-Alpes;3.207079;45.664911;0087734186;VLC;b;1;;Gare Vic le Comte;;45.664911, 3.207079
00450;Pontmort;Pontmort;Yes;No;Agence Centre Est Rhône Alpin;REGION AUVERGNE;UG Auvergne;PONTMORT P GARE;1;1;Pontmort;63200;Pessat-Villeneuve;63-278;Puy-de-Dôme;Auvergne-Rhône-Alpes;3.1601248;45.939486;0087734103;PMT;c;1;;GARES C AUVERGNE;;45.939486, 3.1601248
00452;Riom - Châtel-Guyon;Riom - Châtel-Guyon;Yes;No;Agence Centre Est Rhône Alpin;REGION AUVERGNE;UG Auvergne;RIOM GARE;1;1;Riom - Châtel-Guyon;63140;Riom;63-300;Puy-de-Dôme;Auvergne-Rhône-Alpes;3.120498;45.889965;0087734053;RIO;b;2;;GARE RIOM;;45.889965, 3.120498
00472;Aurec;Aurec;Yes;No;Agence Centre Est Rhône Alpin;REGION AUVERGNE;UG Auvergne;AUREC GARE;1;1;Aurec;43110;Aurec-sur-Loire;43-012;Haute-Loire;Auvergne-Rhône-Alpes;4.1983439;45.3711611;0087726760;AEC;c;1;;GARES C AUVERGNE;;45.3711611, 4.1983439
00435;Langeac;Langeac;Yes;No;Agence Centre Est Rhône Alpin;REGION AUVERGNE;UG Auvergne;LANGEAC GARE;1;1;Langeac;43300;Langeac;43-112;Haute-Loire;Auvergne-Rhône-Alpes;3.490672;45.10125;0087734319;LNG;c;1;;GARES C AUVERGNE;;45.10125, 3.490672
00465;Balbigny;Balbigny;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Loire;BALBIGNY GARE;1;1;Balbigny;42510;Balbigny;42-011;Loire;Auvergne-Rhône-Alpes;4.187443;45.817858;0087726869;BBY;b;1;;Gare Balbigny;;45.817858, 4.187443
00451;Pont-du-Château;Pont-du-Château;Yes;No;Agence Centre Est Rhône Alpin;REGION AUVERGNE;UG Auvergne;;1;1;Pont-du-Château;63430;Pont-du-Château;63-284;Puy-de-Dôme;Auvergne-Rhône-Alpes;3.2377829;45.7885543;0087734087;;c;1;;GARES C AUVERGNE;;45.7885543, 3.2377829
00543;Chasse-sur-Rhône;Chasse-sur-Rhône;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Drôme Ardèche;CHASSE SUR RHONE GARE;1;1;Chasse-sur-Rhône;38670;Chasse-sur-Rhône;38-087;Isère;Auvergne-Rhône-Alpes;4.794843;45.582370;0087722561;CSR;b;1;;Gare Chasse sur Rhône;;45.58237, 4.794843
00560;Châtillon d'Azergues;Châtillon d'Azergues;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Lyon;CHATILLON D AZERGUES GARE;1;1;Châtillon d'Azergues;69380;Châtillon;69-050;Rhône;Auvergne-Rhône-Alpes;4.6451164;45.8751815;0087721753;CDZ;c;1;;GARES C RHONE ALPES;;45.8751815, 4.6451164
00510;Marlieux - Châtillon;Marlieux - Châtillon;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Lyon;MARLIEUX CHATILLON GARE;1;1;Marlieux - Châtillon;01240;Marlieux;01-235;Ain;Auvergne-Rhône-Alpes;5.0731097;46.0638765;0087723767;MXC;c;1;;GARES C RHONE ALPES;;46.0638765, 5.0731097
00550;Vernaison;Vernaison;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Lyon;VERNAISON GARE;1;1;Vernaison;69390;Vernaison;69-260;Rhône;Auvergne-Rhône-Alpes;4.8132908;45.6456478;0087722264;VNI;c;1;;GARES C RHONE ALPES;;45.6456478, 4.8132908
00536;Brignais;Brignais;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Lyon;BRIGNAIS GARE;1;1;Brignais;69530;Brignais;69-027;Rhône;Auvergne-Rhône-Alpes;4.7636596;45.6737721;0087722728;BGN;b;1;;GARE BRIGNAIS;;45.6737721, 4.7636596
00564;Sain-Bel;Sain-Bel;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Lyon;SAIN BEL GARE;1;1;Sain-Bel;69210;Sain-Bel;69-171;Rhône;Auvergne-Rhône-Alpes;4.6012445;45.811097;0087721605;SBL;b;1;;GARE SAIN-BEL;;45.811097, 4.6012445
00535;Alaï;Alaï;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Lyon;;1;1;Alaï;69340;Tassin-la-Demi-Lune;69-244;Rhône;Auvergne-Rhône-Alpes;4.7717824;45.7521198;0087722744;ALA;c;1;;GARES C RHONE ALPES;;45.7521198, 4.7717824
00738;Cheilly-lès-Maranges;Cheilly-lès-Maranges;Yes;No;Agence Centre Est Rhône Alpin;REGION BOURGOGNE FRANCHE-COMTE;UG Bourgogne;CHEILLY LES MARANGES GARE;1;1;Cheilly-lès-Maranges;71150;Cheilly-lès-Maranges;71-122;Saône-et-Loire;Bourgogne-Franche-Comté;4.6758424;46.8924768;0087694398;CJL;c;1;;GARES C BOURGOGNE;;46.8924768, 4.6758424
