UIC;Gare enquêtée;Gpe intermodalités usagers;Répartition;Année
313874;Amiens;Voiture conducteur;4;2015
271007;Paris Nord;Métro / RER;79;2012
212027;Strasbourg;Tramway;41;2016
718007;Besançon-Viotte;Autres voitures ( location, autopartage);1;2012
713040;Dijon;Autres voitures ( location, autopartage);0;2015
686006;Paris Gare de Lyon;Bus/Car/Navette;6;2012
673400;Biarritz;2 roues motorisées;1;2016
673400;Biarritz;Voiture conducteur;14;2016
677005;Hendaye;Voiture conducteur;9;2016
686006;Paris Gare de Lyon;Vélo;1;2012
718007;Besançon-Viotte;Marche;36;2012
718007;Besançon-Viotte;Taxis;2;2012
722025;Lyon Perrache;Vélo;1;2011
583005;Angoulême;Autres voitures ( location, autopartage);4;2012
611004;Toulouse Matabiau;Voiture conducteur;4;2014
583005;Angoulême;2 roues motorisées;0;2012
575001;Poitiers;2 roues motorisées;1;2015
611004;Toulouse Matabiau;Tramway;0;2014
673004;Bayonne;Bus/Car/Navette;22;2013
611004;Toulouse Matabiau;Marche;19;2014
571000;Tours;Voiture passager;7;2016
611004;Toulouse Matabiau;Vélo;2;2014
571000;Tours;Vélo;7;2016
471003;Rennes;Autres voitures ( location, autopartage);1;2014
484006;Angers Saint Laud;Bus/Car/Navette;17;2015
484006;Angers Saint Laud;Voiture passager;10;2015
547000;Paris Austerlitz;Voiture passager;1;2013
476002;Lorient;Bus/Car/Navette;30;2010
476002;Lorient;Voiture passager;22;2010
471003;Rennes;Bus/Car/Navette;10;2014
484006;Angers Saint Laud;Vélo;3;2015
481002;Nantes;Vélo;3;2014
571000;Tours;Taxis;1;2016
753657;Arles;Autres voitures ( location, autopartage);0;2014
751008;Marseille Saint-Charles;Voiture passager;8;2013
723197;Lyon Part Dieu;Voiture conducteur;5;2011
723197;Lyon Part Dieu;Voiture passager;8;2011
747006;Grenoble;Voiture passager;6;2015
723197;Lyon Part Dieu;Vélo;2;2011
755009;Toulon;Taxis;4;2014
757625;Cannes;Vélo;0;2015
756056;Nice;Taxis;1;2014
756056;Nice;Vélo;2;2014
391003;Paris Montparnasse 1 et 2 + Vaugirard;Voiture conducteur;1;2012
723197;Lyon Part Dieu;Autres voitures ( location, autopartage);1;2011
212027;Strasbourg;2 roues motorisées;0;2016
271007;Paris Nord;2 roues motorisées;0;2012
111849;Marne la Vallée Chessy;Taxis;6;2013
271007;Paris Nord;Voiture conducteur;1;2012
286005;Lille Flandres;Métro / RER;45;2013
313874;Amiens;Bus/Car/Navette;30;2015
286005;Lille Flandres;Taxis;2;2013
318964;Avignon TGV;Marche;2;2015
313874;Amiens;Marche;56;2015
313874;Amiens;Taxis;1;2015
484006;Angers Saint Laud;2 roues motorisées;0;2015
484006;Angers Saint Laud;Voiture conducteur;16;2015
547000;Paris Austerlitz;2 roues motorisées;0;2013
547000;Paris Austerlitz;Bus/Car/Navette;6;2013
581009;Bordeaux Saint-Jean;Taxis;2;2014
481002;Nantes;Bus/Car/Navette;20;2014
484006;Angers Saint Laud;Taxis;4;2015
547000;Paris Austerlitz;Marche;18;2013
575001;Poitiers;Taxis;3;2015
481002;Nantes;Marche;17;2014
411017;Rouen Rive Droite;2 roues motorisées;1;2014
481002;Nantes;2 roues motorisées;0;2014
478404;Laval;2 roues motorisées;1;2011
471003;Rennes;Voiture passager;11;2014
411017;Rouen Rive Droite;Vélo;2;2014
478404;Laval;Marche;27;2011
476002;Lorient;Vélo;5;2010
478404;Laval;Taxis;7;2011
444000;Caen;Marche;14;2012
444000;Caen;Taxis;1;2012
182063;Mulhouse;Voiture conducteur;8;2014
113001;Paris Est;Voiture passager;1;2012
113001;Paris Est;Métro / RER;82;2012
223263;Lille Europe;Taxis;6;2013
271007;Paris Nord;Marche;10;2012
113001;Paris Est;Marche;12;2012
182063;Mulhouse;Taxis;3;2014
182014;Colmar;Marche;40;2017
141002;Nancy;Tramway;15;2014
182014;Colmar;Vélo;6;2017
;Paris Bercy;Voiture conducteur;1;2012
171009;Reims;Tramway;17;2016
